Position (m),Area Analytical (m^2),Position (m),"Area (m^2) [disks=2, alpha=0]","Disk Weight (N) [disks=2, alpha=0]",Position (m),"Area (m^2) [disks=2, alpha=0.02]","Disk Weight (N) [disks=2, alpha=0.02]",Position (m),"Area (m^2) [disks=2, alpha=0.03]","Disk Weight (N) [disks=2, alpha=0.03]",Position (m),"Area (m^2) [disks=2, alpha=0.05]","Disk Weight (N) [disks=2, alpha=0.05]",Position (m),"Area (m^2) [disks=2, alpha=0.1]","Disk Weight (N) [disks=2, alpha=0.1]",Position (m),"Area (m^2) [disks=10, alpha=0]","Disk Weight (N) [disks=10, alpha=0]",Position (m),"Area (m^2) [disks=10, alpha=0.02]","Disk Weight (N) [disks=10, alpha=0.02]",Position (m),"Area (m^2) [disks=10, alpha=0.03]","Disk Weight (N) [disks=10, alpha=0.03]",Position (m),"Area (m^2) [disks=10, alpha=0.05]","Disk Weight (N) [disks=10, alpha=0.05]",Position (m),"Area (m^2) [disks=10, alpha=0.1]","Disk Weight (N) [disks=10, alpha=0.1]",Position (m),"Area (m^2) [disks=20, alpha=0]","Disk Weight (N) [disks=20, alpha=0]",Position (m),"Area (m^2) [disks=20, alpha=0.02]","Disk Weight (N) [disks=20, alpha=0.02]",Position (m),"Area (m^2) [disks=20, alpha=0.03]","Disk Weight (N) [disks=20, alpha=0.03]",Position (m),"Area (m^2) [disks=20, alpha=0.05]","Disk Weight (N) [disks=20, alpha=0.05]",Position (m),"Area (m^2) [disks=20, alpha=0.1]","Disk Weight (N) [disks=20, alpha=0.1]",Position (m),"Area (m^2) [disks=100, alpha=0]","Disk Weight (N) [disks=100, alpha=0]",Position (m),"Area (m^2) [disks=100, alpha=0.02]","Disk Weight (N) [disks=100, alpha=0.02]",Position (m),"Area (m^2) [disks=100, alpha=0.03]","Disk Weight (N) [disks=100, alpha=0.03]",Position (m),"Area (m^2) [disks=100, alpha=0.05]","Disk Weight (N) [disks=100, alpha=0.05]",Position (m),"Area (m^2) [disks=100, alpha=0.1]","Disk Weight (N) [disks=100, alpha=0.1]",Position (m),"Area (m^2) [disks=150, alpha=0]","Disk Weight (N) [disks=150, alpha=0]",Position (m),"Area (m^2) [disks=150, alpha=0.02]","Disk Weight (N) [disks=150, alpha=0.02]",Position (m),"Area (m^2) [disks=150, alpha=0.03]","Disk Weight (N) [disks=150, alpha=0.03]",Position (m),"Area (m^2) [disks=150, alpha=0.05]","Disk Weight (N) [disks=150, alpha=0.05]",Position (m),"Area (m^2) [disks=150, alpha=0.1]","Disk Weight (N) [disks=150, alpha=0.1]",Position (m),"Area (m^2) [disks=500, alpha=0]","Disk Weight (N) [disks=500, alpha=0]",Position (m),"Area (m^2) [disks=500, alpha=0.02]","Disk Weight (N) [disks=500, alpha=0.02]",Position (m),"Area (m^2) [disks=500, alpha=0.03]","Disk Weight (N) [disks=500, alpha=0.03]",Position (m),"Area (m^2) [disks=500, alpha=0.05]","Disk Weight (N) [disks=500, alpha=0.05]",Position (m),"Area (m^2) [disks=500, alpha=0.1]","Disk Weight (N) [disks=500, alpha=0.1]"
0.0,0.1,0.0,0.1,3924.0,0.0,0.1,3924.0,0.0,0.1,3924.0,0.0,0.1,3924.0,0.0,0.1,3924.0,0.0,0.1,784.8000000000001,0.0,0.1,784.8000000000001,0.0,0.1,784.8000000000001,0.0,0.1,784.8000000000001,0.0,0.1,784.8000000000001,0.0,0.1,392.40000000000003,0.0,0.1,392.40000000000003,0.0,0.1,392.40000000000003,0.0,0.1,392.40000000000003,0.0,0.1,392.40000000000003,0.0,0.1,78.48,0.0,0.1,78.48,0.0,0.1,78.48,0.0,0.1,78.48,0.0,0.1,78.48,0.0,0.1,52.32,0.0,0.1,52.32,0.0,0.1,52.32,0.0,0.1,52.32,0.0,0.1,52.32,0.0,0.1,15.696,0.0,0.1,15.696,0.0,0.1,15.696,0.0,0.1,15.696,0.0,0.1,15.696
0.002004008016032064,0.10158517822579068,1.0,0.4924,19321.776,1.0,0.48274509803921567,18942.917647058825,1.0,0.47805825242718447,18759.00582524272,1.0,0.46895238095238095,18401.69142857143,1.0,0.4476363636363636,17565.250909090908,0.1111111111111111,0.17848000000000003,1400.7110400000001,0.1111111111111111,0.17808425720620846,1397.6052505543241,0.1111111111111111,0.17788704318936877,1396.0575149501663,0.1111111111111111,0.17749392265193373,1392.9723049723762,0.1111111111111111,0.17651868131868134,1385.3186109890112,0.05263157894736842,0.13924,546.3777600000001,0.05263157894736842,0.13909358569926394,545.8032302839118,0.05263157894736842,0.13902049395691013,545.5164182869154,0.05263157894736842,0.13887454068241473,544.9436976377955,0.05263157894736842,0.1385109947643979,543.5171434554974,0.010101010101010102,0.107848,84.63911039999999,0.010101010101010102,0.10782621692587357,84.62201504342558,0.010101010101010102,0.10781532868827629,84.61346995455922,0.010101010101010102,0.10779355880868248,84.596384953054,0.010101010101010102,0.10773917255297681,84.5537026195762,0.006711409395973154,0.10523199999999999,55.0573824,0.006711409395973154,0.10521787679506106,55.049993139175946,0.006711409395973154,0.10521081661410453,55.04629925249949,0.006711409395973154,0.10519669909426366,55.03891296611875,0.006711409395973154,0.10516142186452045,55.0204559195171,0.002004008016032064,0.1015696,15.942364415999998,0.002004008016032064,0.10156552923730512,15.941725469087412,0.002004008016032064,0.10156349397831795,15.941406014836785,0.002004008016032064,0.10155942370503959,15.940767144743015,0.002004008016032064,0.10154924944900821,15.939170193516329
0.004008016032064128,0.10319548435165656,1.0,0.4924,19321.776,1.0,0.48274509803921567,18942.917647058825,1.0,0.47805825242718447,18759.00582524272,1.0,0.46895238095238095,18401.69142857143,1.0,0.4476363636363636,17565.250909090908,0.2222222222222222,0.31855110400000003,2499.9890641920006,0.2222222222222222,0.3168323811392579,2486.500527180896,0.2222222222222222,0.3159792233394205,2479.8049447677727,0.2222222222222222,0.314285173019246,2466.5100378550433,0.2222222222222222,0.310120298901099,2433.824105775825,0.10526315789473684,0.19387777600000003,760.7763930240002,0.10526315789473684,0.19341313747581054,758.9531514550806,0.10526315789473684,0.1931815946875729,758.0445775540361,0.10526315789473684,0.1927200536917179,756.2334906863011,0.10526315789473684,0.19157513398778359,751.7408257680628,0.020202020202020204,0.11631191104,91.281587784192,0.020202020202020204,0.11626322646334726,91.24338012843494,0.020202020202020204,0.11623889917777244,91.2242880747158,0.020202020202020204,0.11619027458158664,91.1861274916292,0.020202020202020204,0.11606888766062301,91.09086303605694,0.013422818791946308,0.11073773824,57.93798464716801,0.013422818791946308,0.11070727923895413,57.9220484978208,0.013422818791946308,0.11069205594299103,57.914083669372914,0.013422818791946308,0.11066162175181199,57.898160500548045,0.013422818791946308,0.11058560853351747,57.858390384736346,0.004008016032064128,0.1031638364416,16.192595767873534,0.004008016032064128,0.10315550356866676,16.191287840137935,0.004008016032064128,0.10315133763503459,16.19063395519503,0.004008016032064128,0.10314300677323718,16.18932634312731,0.004008016032064128,0.10312218548208427,16.186058233267946
0.0060120240480961915,0.10483131669959825,1.0,0.4924,19321.776,1.0,0.48274509803921567,18942.917647058825,1.0,0.47805825242718447,18759.00582524272,1.0,0.46895238095238095,18401.69142857143,1.0,0.4476363636363636,17565.250909090908,0.3333333333333333,0.5685500104192001,4461.980481769882,0.3333333333333333,0.5631363355366112,4419.493961291325,0.3333333333333333,0.5604616296750435,4398.502869689742,0.3333333333333333,0.5551753124092544,4357.015851787829,0.3333333333333333,0.5423170371062744,4256.104107210042,0.15789473684210525,0.2699554153024,1059.3050496466178,0.15789473684210525,0.268866585797696,1055.0324826701592,0.15789473684210525,0.2683250860187432,1052.9076375375485,0.15789473684210525,0.267247867248866,1048.6806310845502,0.15789473684210525,0.26458809023444374,1038.2436660799574,0.030303030303030304,0.12544006981841918,98.44536679349538,0.030303030303030304,0.1253585646295318,98.38140152125656,0.030303030303030304,0.12531785048430538,98.34944906008286,0.030303030303030304,0.12523649897329667,98.28560439424322,0.030303030303030304,0.1250335669686885,98.12634335702674,0.020134228187919462,0.11653153670471679,60.969300003907826,0.020134228187919462,0.11648229854012646,60.94353859619416,0.020134228187919462,0.11645769471819638,60.93066587656035,0.020134228187919462,0.11640851756388425,60.90493638942425,0.020134228187919462,0.11628575224335817,60.840705573724996,0.0060120240480961915,0.10478309601838737,16.446754751046083,0.0060120240480961915,0.10477030369921521,16.44474686862882,0.0060120240480961915,0.10476390870284837,16.44374310999908,0.0060120240480961915,0.10475112103585042,16.44173595778708,0.0060120240480961915,0.1047191654285931,16.43672020567197
0.008016032064128256,0.10649307990572994,1.0,0.4924,19321.776,1.0,0.48274509803921567,18942.917647058825,1.0,0.47805825242718447,18759.00582524272,1.0,0.46895238095238095,18401.69142857143,1.0,0.4476363636363636,17565.250909090908,0.4444444444444444,1.0147480585961883,7963.742763862886,0.4444444444444444,0.9999515159828073,7847.619497433072,0.4444444444444444,0.9926807890862844,7790.5588327491605,0.4444444444444444,0.9783878668645353,7678.387979152873,0.4444444444444444,0.9440470363380201,7408.881141180783,0.21052631578947367,0.3758859202670618,1474.9763511279507,0.21052631578947367,0.37364564163403496,1466.1854977719531,0.21052631578947367,0.3725340169152275,1461.8234823753528,0.21052631578947367,0.3703275967123141,1453.1654894991207,0.21052631578947367,0.36490789211735475,1431.8985686685,0.04040404040404041,0.13528460649776874,106.17135917944893,0.04040404040404041,0.13516345667401958,106.07628079777056,0.04040404040404041,0.13510295954584992,106.028802651583,0.04040404040404041,0.13498212053130412,105.93396819296748,0.04040404040404041,0.1346809255455265,105.69759036812918,0.026845637583892617,0.12262846670510757,64.15921378011228,0.026845637583892617,0.12255775520173426,64.12221752154737,0.026845637583892617,0.12252242909801939,64.10373490408375,0.026845637583892617,0.12245183610493134,64.06680065010008,0.026845637583892617,0.12227569827966453,63.97464533992049,0.008016032064128256,0.10642777149349197,16.704903013618498,0.008016032064128256,0.1064103162476455,16.702163238230437,0.008016032064128256,0.10640159075110904,16.700793684294077,0.008016032064128256,0.10638414400909116,16.69805524366695,0.008016032064128256,0.10634055193584215,16.691213031849784
0.01002004008016032,0.10818118502036944,1.0,0.4924,19321.776,1.0,0.48274509803921567,18942.917647058825,1.0,0.47805825242718447,18759.00582524272,1.0,0.46895238095238095,18401.69142857143,1.0,0.4476363636363636,17565.250909090908,0.5555555555555556,1.811122334982477,14213.688084942482,0.5555555555555556,1.7738920123971047,13921.504513292479,0.5555555555555556,1.7557105733269027,13778.816579469532,0.5555555555555556,1.7201856817720336,13500.01723054692,0.5555555555555556,1.636003701962115,12839.35705299868,0.2631578947368421,0.5233835553798569,2053.757071310559,0.2631578947368421,0.5191053030441937,2036.969209145416,0.2631578947368421,0.5169877295003823,2028.6598505595002,0.2631578947368421,0.5127950278921953,2012.2076894489746,0.2631578947368421,0.5025548916690683,1972.025394909424,0.05050505050505051,0.14590174241571363,114.50368744785206,0.05050505050505051,0.14573310259495245,114.3713389165187,0.05050505050505051,0.1456489207910773,114.30527303683746,0.05050505050505051,0.14548083266313094,114.17335747402517,0.05050505050505051,0.14506221250120416,113.84482437094503,0.03355704697986577,0.1290443880831188,67.51602384508776,0.03355704697986577,0.12894923666361904,67.46624062240548,0.03355704697986577,0.1289017115465471,67.44137548115344,0.03355704697986577,0.1288067623218911,67.39169804681343,0.03355704697986577,0.12856997684646618,67.26781188607112,0.01002004008016032,0.10809826179485382,16.967103171320257,0.01002004008016032,0.10807593383783333,16.96359857518632,0.01002004008016032,0.10806477327564824,16.96184681334575,0.01002004008016032,0.10804245898046529,16.958344361573833,0.01002004008016032,0.10798671304714488,16.94959447987986
0.012024048096192383,0.10989604960971466,1.0,0.4924,19321.776,1.0,0.48274509803921567,18942.917647058825,1.0,0.47805825242718447,18759.00582524272,1.0,0.46895238095238095,18401.69142857143,1.0,0.4476363636363636,17565.250909090908,0.6666666666666666,3.232491143476725,25368.59049400534,0.6666666666666666,3.1438345805676406,24672.813788294847,0.6666666666666666,3.1008373276104293,24335.37134708665,0.6666666666666666,3.0173906520304876,23680.48183713527,0.6666666666666666,2.8226517204519697,22152.17070210706,0.3157894736842105,0.7287592625109128,2859.6513460928218,0.3157894736842105,0.7209807942217776,2829.1286365262554,0.3157894736842105,0.7171412271113332,2814.0621751848716,0.3157894736842105,0.7095595283356378,2784.311589189043,0.3157894736842105,0.6911565631568743,2712.098353827575,0.06060606060606061,0.15735211116049883,123.48993683875948,0.06060606060606061,0.1571269846896017,123.31325758439942,0.06060606060606061,0.15701464710123014,123.22509504504542,0.06060606060606061,0.15679042176040883,123.04912299756884,0.06060606060606061,0.15623246892713016,122.61124161401176,0.040268456375838924,0.13579599046762758,71.04846221266276,0.040268456375838924,0.13567313688183638,70.9841852165768,0.040268456375838924,0.1356117895953659,70.95208831629544,0.040268456375838924,0.13548925370019935,70.8879775359443,0.040268456375838924,0.13518383646824303,70.72818324018475,0.012024048096192383,0.10979497211198586,17.2334188226973,0.012024048096192383,0.10976755519186651,17.229115462915367,0.012024048096192383,0.10975385178998712,17.22696457695638,0.012024048096192383,0.10972645509641461,17.22266439193324,0.012024048096192383,0.10965802228101455,17.211923177228044
0.014028056112224447,0.11163809785913198,1.0,0.4924,19321.776,1.0,0.48274509803921567,18942.917647058825,1.0,0.47805825242718447,18759.00582524272,1.0,0.46895238095238095,18401.69142857143,1.0,0.4476363636363636,17565.250909090908,0.7777777777777777,5.769350192877259,45277.86031370074,0.7777777777777777,5.566444615343791,43685.457341218076,0.7777777777777777,5.468786197594106,42919.03407871855,0.7777777777777777,5.280659541957783,41442.61608528468,0.7777777777777777,4.848908262704667,38054.23204570622,0.3684210526315789,1.014724397120195,3981.778534299645,0.3684210526315789,1.0010709088255108,3928.2022462313043,0.3684210526315789,0.9943512164938377,3901.8341735218196,0.3684210526315789,0.9811209775884752,3849.918716057177,0.3684210526315789,0.9492210918856413,3724.743564559257,0.07070707070707072,0.16970110484437478,133.18142708186534,0.07070707070707072,0.16940919883517125,132.9523392458424,0.07070707070707072,0.16926359379544353,132.8380684106641,0.07070707070707072,0.1689730769852494,132.61007081802376,0.07070707070707072,0.16825080438436193,132.04323128084724,0.04697986577181208,0.14290083668889386,74.76571775562927,0.04697986577181208,0.14274669794519534,74.6850723649262,0.04697986577181208,0.14266974658367057,74.64481141257644,0.04697986577181208,0.14251607929511442,74.56441268720387,0.04697986577181208,0.1421332789975144,74.36413157149954,0.014028056112224447,0.1115183139942556,17.50391456453836,0.014028056112224447,0.11148558522451393,17.498777456839708,0.014028056112224447,0.11146922791794214,17.4962100140002,0.014028056112224447,0.11143652745128126,17.491077348753105,0.014028056112224447,0.11135485871150401,17.47825862335767
0.01603206412825651,0.11340776067808184,1.0,0.4924,19321.776,1.0,0.48274509803921567,18942.917647058825,1.0,0.47805825242718447,18759.00582524272,1.0,0.46895238095238095,18401.69142857143,1.0,0.4476363636363636,17565.250909090908,0.8888888888888888,10.297136224247332,80811.92508789306,0.8888888888888888,9.846530064556607,77275.56794664025,0.8888888888888888,9.63145579552905,75587.665083312,0.8888888888888888,9.220480978091647,72362.33471606325,0.8888888888888888,8.294206019323557,65092.92883965128,0.42105263157894735,1.4129022505501594,5544.228431158826,0.42105263157894735,1.3895658383486302,5452.656349680025,0.42105263157894735,1.3781170373460543,5407.731254545917,0.42105263157894735,1.3556462101466817,5319.555728615579,0.42105263157894735,1.3018519334752385,5108.466986956836,0.08080808080808081,0.18301924755256133,143.63350547925012,0.08080808080808081,0.1826488113256627,143.3427871283801,0.08080808080808081,0.1824641073933044,143.19783148226531,0.08080808080808081,0.18209572333584473,142.90872367397094,0.08080808080808081,0.18118069325452177,142.19060806614868,0.053691275167785234,0.1503774084644568,78.6774601086038,0.053691275167785234,0.15018805383335904,78.57838976561345,0.053691275167785234,0.15009354447733095,78.52894247053956,0.053691275167785234,0.14990486072131642,78.43022312939276,0.053691275167785234,0.14943509630402704,78.18444238626695,0.01603206412825651,0.11326870545070943,17.77865600754335,0.01603206412825651,0.11323043513915415,17.772649099441633,0.01603206412825651,0.11321130948765022,17.76964713718158,0.01603206412825651,0.11317307717761328,17.76364619379818,0.01603206412825651,0.11307760704970808,17.748661202522182
0.018036072144288574,0.11520547580670758,1.0,0.4924,19321.776,1.0,0.48274509803921567,18942.917647058825,1.0,0.47805825242718447,18759.00582524272,1.0,0.46895238095238095,18401.69142857143,1.0,0.4476363636363636,17565.250909090908,1.0,18.37832873303664,144233.12389687155,1.0,17.40111400253973,136563.94269193182,1.0,16.938894296188696,132936.4424364889,1.0,16.063346289790307,126065.14168227435,1.0,14.127965145965355,110876.27046553612,0.47368421052631576,1.967325093666042,7719.783667545549,0.47368421052631576,1.9282653038139626,7566.5130521659885,0.47368421052631576,1.9091676794071266,7491.573973993564,0.47368421052631576,1.8718093758979553,7344.979991023578,0.47368421052631576,1.7830530431169702,6996.700141190991,0.09090909090909091,0.19738259810048633,154.9058629892617,0.09090909090909091,0.1969202432307288,154.54300688747594,0.09090909090909091,0.19668980104146225,154.36215585733956,0.09090909090909091,0.19623037972805707,154.0016020105792,0.09090909090909091,0.19509029235892036,153.1068614432807,0.060402684563758385,0.15824515447531717,82.79386482148595,0.060402684563758385,0.15801627642640756,82.67411582629644,0.060402684563758385,0.1579020688725659,82.61436243412648,0.060402684563758385,0.15767411519834476,82.49509707177398,0.060402684563758385,0.15710690872514094,82.19833464499375,0.018036072144288574,0.11504657105146375,18.057709792237752,0.018036072144288574,0.11500252252518596,18.05079593555319,0.018036072144288574,0.11498051062703521,18.047340948019446,0.018036072144288574,0.11493651153783283,18.04043485097824,0.018036072144288574,0.11482665772644521,18.02319219674284
